ID,Address,City,Country,latitude,longitude
212,החרצית ,ירושלים,ישראל,31.7577184,35.1626749
213,הטייסים ,ירושלים,ישראל,31.7661031,35.2070564
214,הטייסים ,ירושלים,ישראל,31.7661031,35.2070564
215,הירמוך ,ירושלים,ישראל,31.7845303,35.2102621
216,הכפיר ,ירושלים,ישראל,31.7533859,35.1867833
217,הכפיר ,ירושלים,ישראל,31.7533859,35.1867833
218,הכרפס ,ירושלים,ישראל,31.731872,35.1884794
219,הלילך ,ירושלים,ישראל,31.7585453,35.1702296
220,המלך ג'ורג' ,ירושלים,ישראל,31.7757195,35.2172681
221,הממציא ,ירושלים,ישראל,31.7267337,35.2218182
222,המעיין ,ירושלים,ישראל,31.7666887,35.1621265
223,המפקד 4,ירושלים,ישראל,31.7673314,35.2278465
224,המרגלית ,ירושלים,ישראל,31.739138,35.1804475
225,המשורר אצ''ג ,ירושלים,ישראל,31.8258612,35.1886694
226,הנוטרים ,ירושלים,ישראל,31.7555813,35.1963234
227,הנורית ,ירושלים,ישראל,31.7544586,35.1688991
228,הנצי''ב 4,ירושלים,ישראל,31.7813097,35.2135196
229,הנרייטה סולד ,ירושלים,ישראל,31.7620241,35.1718011
230,הסיגלית 4,ירושלים,ישראל,31.7404396,35.1958229
231,הסייפן ,ירושלים,ישראל,31.7562373,35.1647525
232,העלייה ,ירושלים,ישראל,31.7788068,35.2474736
233,הפלמ''ח ,ירושלים,ישראל,31.7641006,35.2068938
234,הפסגה ,ירושלים,ישראל,31.7965255,35.0658037
235,הצדיק מצ'כנוב ,ירושלים,ישראל,31.8155492,35.1916387
236,הצוף ,ירושלים,ישראל,31.7334454,35.1979201
237,הציונות ,ירושלים,ישראל,31.7536508,35.1781261
238,הציפורן 4,ירושלים,ישראל,31.7326092,35.1909397
239,הקבלן ,ירושלים,ישראל,31.7876803,35.1752327
240,הקבלן ,ירושלים,ישראל,31.7876803,35.1752327
241,הרב אברהם רביץ ,ירושלים,ישראל,31.836228,35.239545
